# x	y	u	v	flags	mask
7.5632e-01	5.5947e-01	1.0243e+00	-2.0839e+00	0.0000e+00	0.0000e+00
1.0257e+00	5.5947e-01	1.0871e+00	-2.0358e+00	0.0000e+00	0.0000e+00
1.2951e+00	5.5947e-01	9.9179e-01	-2.0108e+00	0.0000e+00	0.0000e+00
1.5644e+00	5.5947e-01	1.1494e+00	-2.0483e+00	0.0000e+00	0.0000e+00
1.8338e+00	5.5947e-01	1.0638e+00	-2.0493e+00	0.0000e+00	0.0000e+00
2.1032e+00	5.5947e-01	9.9086e-01	-1.9936e+00	0.0000e+00	0.0000e+00
2.3726e+00	5.5947e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.6419e+00	5.5947e-01	1.1557e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.9113e+00	5.5947e-01	1.0042e+00	-2.0355e+00	0.0000e+00	0.0000e+00
3.1807e+00	5.5947e-01	1.0361e+00	-1.9799e+00	0.0000e+00	0.0000e+00
3.4501e+00	5.5947e-01	9.3496e-01	-2.0442e+00	0.0000e+00	0.0000e+00
3.7194e+00	5.5947e-01	1.0719e+00	-2.0439e+00	0.0000e+00	0.0000e+00
3.9888e+00	5.5947e-01	9.9769e-01	-1.9684e+00	0.0000e+00	0.0000e+00
4.2582e+00	5.5947e-01	1.0361e+00	-1.9500e+00	0.0000e+00	0.0000e+00
4.5276e+00	5.5947e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.7969e+00	5.5947e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
5.0663e+00	5.5947e-01	1.1308e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.9010e-01	1.0114e+00	-2.0211e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.9010e-01	1.0205e+00	-2.0530e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.9010e-01	9.4059e-01	-2.0721e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.9010e-01	1.0672e+00	-2.1037e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.9010e-01	1.0361e+00	-1.9983e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.9010e-01	1.0927e+00	-1.9972e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.9010e-01	1.0360e+00	-2.0028e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.9010e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.9010e-01	1.0361e+00	-2.0093e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.9010e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.9010e-01	1.0361e+00	-2.0140e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.9010e-01	1.0175e+00	-2.0622e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.9010e-01	9.8231e-01	-2.0721e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.9010e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.9010e-01	1.0361e+00	-2.0303e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.9010e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.9010e-01	1.0701e+00	-2.0005e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.9010e-01	1.0633e+00	-2.0297e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.9010e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
