# x	y	u	v	flags	mask
1.1562e+01	1.6680e+00	-8.7624e-01	5.9878e-01	1.0000e+00	0.0000e+00
1.1770e+01	1.6680e+00	-2.0811e+00	6.1317e+00	0.0000e+00	0.0000e+00
1.1977e+01	1.6680e+00	-6.2977e-01	3.2742e-01	1.0000e+00	0.0000e+00
1.2184e+01	1.6680e+00	-6.3993e+00	-6.0388e+00	0.0000e+00	0.0000e+00
1.2391e+01	1.6680e+00	-2.7943e-01	2.1519e-02	1.0000e+00	0.0000e+00
1.2598e+01	1.6680e+00	5.2343e+00	6.7275e+00	0.0000e+00	0.0000e+00
1.2806e+01	1.6680e+00	-5.2720e-01	-3.0812e-01	1.0000e+00	0.0000e+00
1.3013e+01	1.6680e+00	-4.5389e-01	1.1067e-01	1.0000e+00	0.0000e+00
1.3220e+01	1.6680e+00	-9.2685e-01	1.7874e-01	1.0000e+00	0.0000e+00
1.3427e+01	1.6680e+00	-4.6761e+00	2.9115e+00	0.0000e+00	0.0000e+00
1.3634e+01	1.6680e+00	-2.9817e+00	3.4900e+00	0.0000e+00	0.0000e+00
1.3842e+01	1.6680e+00	-3.8986e-01	-3.6360e+00	0.0000e+00	0.0000e+00
1.4049e+01	1.6680e+00	-1.5264e+00	-8.6769e-01	1.0000e+00	0.0000e+00
1.4256e+01	1.6680e+00	-1.6791e+00	-6.8396e-01	1.0000e+00	0.0000e+00
1.6577e-01	1.4608e+00	3.1668e-02	2.7987e+00	1.0000e+00	0.0000e+00
3.7298e-01	1.4608e+00	2.5133e-01	2.8122e+00	1.0000e+00	0.0000e+00
5.8019e-01	1.4608e+00	4.0722e-01	2.4206e+00	1.0000e+00	0.0000e+00
7.8740e-01	1.4608e+00	3.8088e-01	2.0739e+00	1.0000e+00	0.0000e+00
9.9461e-01	1.4608e+00	7.2202e-01	1.6361e+00	1.0000e+00	0.0000e+00
1.2018e+00	1.4608e+00	7.6664e-01	9.7944e-01	1.0000e+00	0.0000e+00
1.4090e+00	1.4608e+00	4.6905e-01	2.4371e-01	1.0000e+00	0.0000e+00
1.6162e+00	1.4608e+00	-2.0498e+00	-1.6320e+00	0.0000e+00	0.0000e+00
1.8235e+00	1.4608e+00	1.4241e+00	-6.3000e+00	0.0000e+00	0.0000e+00
2.0307e+00	1.4608e+00	-1.4220e+00	-3.2276e+00	0.0000e+00	0.0000e+00
2.2379e+00	1.4608e+00	2.7869e+00	-2.8719e+00	0.0000e+00	0.0000e+00
2.4451e+00	1.4608e+00	3.9308e+00	-3.0326e+00	0.0000e+00	0.0000e+00
2.6523e+00	1.4608e+00	2.3043e-01	-1.1889e+00	1.0000e+00	0.0000e+00
2.8595e+00	1.4608e+00	5.8321e-01	-7.7512e-01	1.0000e+00	0.0000e+00
3.0667e+00	1.4608e+00	1.1924e-01	-3.9936e-01	1.0000e+00	0.0000e+00
3.2739e+00	1.4608e+00	-3.8032e+00	2.0845e+00	0.0000e+00	0.0000e+00
3.4811e+00	1.4608e+00	6.5524e-03	2.4351e-01	1.0000e+00	0.0000e+00
3.6884e+00	1.4608e+00	-6.5746e+00	2.8036e+00	0.0000e+00	0.0000e+00
3.8956e+00	1.4608e+00	2.9535e+00	1.9784e-01	0.0000e+00	0.0000e+00
4.1028e+00	1.4608e+00	-6.0706e+00	2.5357e+00	0.0000e+00	0.0000e+00
4.3100e+00	1.4608e+00	1.8979e-01	-6.4771e-02	1.0000e+00	0.0000e+00
4.5172e+00	1.4608e+00	3.2420e+00	2.7451e+00	0.0000e+00	0.0000e+00
4.7244e+00	1.4608e+00	2.0413e-01	8.1546e-02	1.0000e+00	0.0000e+00
4.9316e+00	1.4608e+00	1.5764e-02	1.0524e-01	1.0000e+00	0.0000e+00
5.1388e+00	1.4608e+00	-2.0980e-01	2.7315e-01	1.0000e+00	0.0000e+00
5.3460e+00	1.4608e+00	3.1147e+00	-5.1426e+00	0.0000e+00	0.0000e+00
5.5533e+00	1.4608e+00	-2.5154e-01	3.5562e-01	1.0000e+00	0.0000e+00
5.7605e+00	1.4608e+00	-2.3346e+00	-3.9693e+00	0.0000e+00	0.0000e+00
5.9677e+00	1.4608e+00	1.5937e+00	-2.1006e+00	0.0000e+00	0.0000e+00
6.1749e+00	1.4608e+00	1.1099e-01	-2.6475e-01	1.0000e+00	0.0000e+00
6.3821e+00	1.4608e+00	4.1459e-01	-3.0365e-01	1.0000e+00	0.0000e+00
6.5893e+00	1.4608e+00	5.7405e-01	-1.7989e-01	1.0000e+00	0.0000e+00
6.7965e+00	1.4608e+00	3.2626e-01	-2.0089e-01	1.0000e+00	0.0000e+00
7.0037e+00	1.4608e+00	2.3665e+00	-2.5758e+00	0.0000e+00	0.0000e+00
7.2109e+00	1.4608e+00	4.6802e+00	1.0099e+00	0.0000e+00	0.0000e+00
7.4182e+00	1.4608e+00	-3.6595e+00	-5.4548e+00	0.0000e+00	0.0000e+00
7.6254e+00	1.4608e+00	-3.3765e+00	3.0453e+00	0.0000e+00	0.0000e+00
7.8326e+00	1.4608e+00	-6.5812e-01	1.0623e+00	1.0000e+00	0.0000e+00
8.0398e+00	1.4608e+00	-9.1174e-01	1.0179e+00	1.0000e+00	0.0000e+00
8.2470e+00	1.4608e+00	-1.1226e+00	1.2392e+00	1.0000e+00	0.0000e+00
8.4542e+00	1.4608e+00	3.9871e-01	3.4500e+00	0.0000e+00	0.0000e+00
8.6614e+00	1.4608e+00	-1.2513e+00	8.0286e-01	1.0000e+00	0.0000e+00
8.8686e+00	1.4608e+00	-1.1885e+00	9.7036e-01	1.0000e+00	0.0000e+00
9.0758e+00	1.4608e+00	-5.0187e+00	3.8150e+00	0.0000e+00	0.0000e+00
9.2831e+00	1.4608e+00	6.6303e-01	-3.1284e+00	0.0000e+00	0.0000e+00
9.4903e+00	1.4608e+00	-1.1988e+00	6.1266e-01	1.0000e+00	0.0000e+00
9.6975e+00	1.4608e+00	-8.8999e-01	4.1182e-01	1.0000e+00	0.0000e+00
9.9047e+00	1.4608e+00	-6.0967e-01	5.5566e-01	1.0000e+00	0.0000e+00
1.0112e+01	1.4608e+00	-1.3306e+00	5.0583e+00	0.0000e+00	0.0000e+00
1.0319e+01	1.4608e+00	-3.7771e-01	7.0791e-01	1.0000e+00	0.0000e+00
1.0526e+01	1.4608e+00	-3.7873e-01	1.0150e+00	1.0000e+00	0.0000e+00
1.0734e+01	1.4608e+00	-4.1933e-01	1.0479e+00	1.0000e+00	0.0000e+00
1.0941e+01	1.4608e+00	-4.1709e-01	1.0844e+00	1.0000e+00	0.0000e+00
1.1148e+01	1.4608e+00	-5.3000e+00	3.6391e+00	0.0000e+00	0.0000e+00
1.1355e+01	1.4608e+00	2.1981e+00	3.0462e+00	0.0000e+00	0.0000e+00
1.1562e+01	1.4608e+00	-7.4734e-01	5.6060e-01	1.0000e+00	0.0000e+00
1.1770e+01	1.4608e+00	-9.2924e-01	1.9429e+00	0.0000e+00	0.0000e+00
1.1977e+01	1.4608e+00	-2.0656e+00	-4.2035e+00	0.0000e+00	0.0000e+00
1.2184e+01	1.4608e+00	-1.5129e+00	4.2138e-01	0.0000e+00	0.0000e+00
1.2391e+01	1.4608e+00	-1.8741e-01	2.1493e-01	1.0000e+00	0.0000e+00
1.2598e+01	1.4608e+00	-3.9779e-01	7.5414e-02	1.0000e+00	0.0000e+00
1.2806e+01	1.4608e+00	-2.1137e-01	-1.4361e-01	1.0000e+00	0.0000e+00
